id,folder,evidence_level,caption,source,formats
P02_quantum_classical_split,03_PIPELINE,Conceptual schematic of implemented pipeline,Useful center-panel bridge graphic.,latex_short_paper/main.tex,P02_quantum_classical_split.png; P02_quantum_classical_split.svg
P03_samples_to_lattice,03_PIPELINE,Verified implementation schematic,Sample-to-lattice construction.,"latex_short_paper/main.tex, Eq. (5)",P03_samples_to_lattice.png; P03_samples_to_lattice.svg
P04_stored_root_endpoint,03_PIPELINE,Verified implementation schematic,Candidate classification and factor endpoint.,latex_short_paper/main.tex; ROOT_PROVENANCE_RED_TEAM.md,P04_stored_root_endpoint.png; P04_stored_root_endpoint.svg
P05_data_dependency,03_PIPELINE,Verified frozen analysis flow,Shows how inputs become the primary claim.,results/qft_certificate_gap/configuration.json; paired_cluster_rows.csv,P05_data_dependency.png; P05_data_dependency.svg
C01_certificate_chain,04_CERTIFICATE_AND_FIBERS,Verified proof audit schematic,Line-by-line certificate chain.,QFT_CERTIFICATE_PROOF_AUDIT.md; latex_short_paper/main.tex,C01_certificate_chain.png; C01_certificate_chain.svg
C02_worst_case_vs_prepared,04_CERTIFICATE_AND_FIBERS,Analytical mechanism,Explains the certification gap.,QFT_CERTIFICATE_PROOF_AUDIT.md,C02_worst_case_vs_prepared.png; C02_worst_case_vs_prepared.svg
C03_fiber_cancellation,04_CERTIFICATE_AND_FIBERS,Analytical mechanism,Hero mechanism diagram.,"latex_short_paper/main.tex, Eq. (4)",C03_fiber_cancellation.png; C03_fiber_cancellation.svg
C04_n15_counterexample,04_CERTIFICATE_AND_FIBERS,Verified controlled example,Explicit equal-law counterexample.,results/qft_certificate_gap/controlled_examples.json,C04_n15_counterexample.png; C04_n15_counterexample.svg
C05_certificate_barrier,04_CERTIFICATE_AND_FIBERS,Verified proof-audit consequence,"Visualizes M < 4πdm/Δ with frozen d,m,Δ.","latex_short_paper/main.tex, Proposition 1",C05_certificate_barrier.png; C05_certificate_barrier.svg
C06_three_questions,04_CERTIFICATE_AND_FIBERS,Verified explanatory synthesis,Separates three common claims.,QFT_CERTIFICATE_PROOF_AUDIT.md; certificate_gap_rows.csv,C06_three_questions.png; C06_three_questions.svg
E01_frozen_protocol,05_FROZEN_EXPERIMENT,Verified frozen design,Protocol overview.,results/qft_certificate_gap/configuration.json,E01_frozen_protocol.png; E01_frozen_protocol.svg
E02_heldout_moduli,05_FROZEN_EXPERIMENT,Verified frozen design,Complete held-out N list.,results/qft_certificate_gap/configuration.json,E02_heldout_moduli.png; E02_heldout_moduli.svg
E03_design_grid,05_FROZEN_EXPERIMENT,Verified frozen design,Six primary model–M cells.,results/qft_certificate_gap/configuration.json,E03_design_grid.png; E03_design_grid.svg
E04_unit_generalization,05_FROZEN_EXPERIMENT,Verified statistical design,Prevents pseudoreplication in poster interpretation.,results/qft_certificate_gap/paired_cluster_rows.csv,E04_unit_generalization.png; E04_unit_generalization.svg
E05_noninferiority_ruler,05_FROZEN_EXPERIMENT,Verified frozen decision rule,Explains the 0.10 margin.,results/qft_certificate_gap/configuration.json,E05_noninferiority_ruler.png; E05_noninferiority_ruler.svg
E06_freeze_seed,05_FROZEN_EXPERIMENT,Verified reproducibility metadata,Seed/freeze card.,results/qft_certificate_gap/configuration.json,E06_freeze_seed.png; E06_freeze_seed.svg
R01_primary_heatmap,06_PRIMARY_RESULTS,Verified frozen empirical result,Primary result heatmap.,results/qft_certificate_gap/certificate_gap_rows.csv,R01_primary_heatmap.png; R01_primary_heatmap.svg
R02_all_paired_differences,06_PRIMARY_RESULTS,Verified frozen empirical result,Forest plot of all non-exact cutoffs.,results/qft_certificate_gap/paired_cluster_rows.csv,R02_all_paired_differences.png; R02_all_paired_differences.svg
R03_recovery_curve_model_A,06_PRIMARY_RESULTS,Verified frozen empirical result,Recovery vs omitted layers for uniform hard-box.,results/qft_certificate_gap/per_N_rows.csv,R03_recovery_curve_model_A.png; R03_recovery_curve_model_A.svg
R04_recovery_curve_model_B,06_PRIMARY_RESULTS,Verified frozen empirical result,Recovery vs omitted layers for finite discrete-Gaussian.,results/qft_certificate_gap/per_N_rows.csv,R04_recovery_curve_model_B.png; R04_recovery_curve_model_B.svg
R05_per_N_omit1_M32,06_PRIMARY_RESULTS,Verified frozen empirical result,Exact vs one-layer omission for every held-out N at M=32.,results/qft_certificate_gap/per_N_rows.csv,R05_per_N_omit1_M32.png; R05_per_N_omit1_M32.svg
R06_margin_sensitivity,06_PRIMARY_RESULTS,Verified post-hoc sensitivity analysis,How the allowed margin changes the largest passing cutoff.,results/qft_certificate_gap/margin_summary_rows.csv,R06_margin_sensitivity.png; R06_margin_sensitivity.svg
R07_certificate_gap_summary,06_PRIMARY_RESULTS,Verified frozen result,Direct side-by-side primary conclusion.,results/qft_certificate_gap/certificate_gap_rows.csv,R07_certificate_gap_summary.png; R07_certificate_gap_summary.svg
G01_M32_resource_bars,07_RESOURCE_SAVINGS,Verified compiled resource result,"Exact, one-layer, and two-layer QFT resources.",results/qft_certificate_gap/configuration_rows.csv,G01_M32_resource_bars.png; G01_M32_resource_bars.svg
G02_one_layer_savings,07_RESOURCE_SAVINGS,Verified QFT-only resource + endpoint result,Universal tested one-layer resource card.,certificate_gap_rows.csv; configuration_rows.csv,G02_one_layer_savings.png; G02_one_layer_savings.svg
G03_two_layer_savings,07_RESOURCE_SAVINGS,Verified QFT-only resource + endpoint result,Qualified maximum-saving card.,certificate_gap_rows.csv; configuration_rows.csv,G03_two_layer_savings.png; G03_two_layer_savings.svg
G04_qft_layer_map,07_RESOURCE_SAVINGS,Conceptual schematic with verified M=32 context,Shows which interaction distances truncation targets.,regev_research/circuits.py; configuration_rows.csv,G04_qft_layer_map.png; G04_qft_layer_map.svg
G05_cost_vs_acceptance,07_RESOURCE_SAVINGS,Verified descriptive synthesis,Shows resource/endpoint tradeoff without implying speedup.,certificate_gap_rows.csv; configuration_rows.csv,G05_cost_vs_acceptance.png; G05_cost_vs_acceptance.svg
D01_leave_one_N_out,08_ROBUSTNESS_AND_DIAGNOSTICS,Verified sensitivity analysis,One-layer decision under every leave-one-N-out dataset.,results/qft_certificate_gap/leave_one_N_out_rows.csv,D01_leave_one_N_out.png; D01_leave_one_N_out.svg
D02_proof_slack,08_ROBUSTNESS_AND_DIAGNOSTICS,Verified diagnostic analysis,Median looseness at each certificate step.,results/qft_certificate_gap/proof_slack_rows.csv,D02_proof_slack.png; D02_proof_slack.svg
D03_distribution_tv,08_ROBUSTNESS_AND_DIAGNOSTICS,Verified finite diagnostic,TV change in the exact finite measured law.,results/qft_certificate_gap/configuration_rows.csv,D03_distribution_tv.png; D03_distribution_tv.svg
D04_implementation_correction,08_ROBUSTNESS_AND_DIAGNOSTICS,Verified pre-holdout implementation correction,Transparent software-audit card.,QFT_CERTIFICATE_GAP_ADVERSARIAL_AUDIT.md; latex_short_paper/main.tex,D04_implementation_correction.png; D04_implementation_correction.svg
D05_near_tight_gate_step,08_ROBUSTNESS_AND_DIAGNOSTICS,Verified controlled adversarial example,Shows why the proof cannot be dismissed wholesale.,results/qft_certificate_gap/controlled_examples.json,D05_near_tight_gate_step.png; D05_near_tight_gate_step.svg
L01_scope_grid,09_LIMITATIONS_AND_CLAIMS,Verified scope statement,Tested vs unestablished claims.,latex_short_paper/main.tex,L01_scope_grid.png; L01_scope_grid.svg
L02_no_speedup_claim,09_LIMITATIONS_AND_CLAIMS,Verified claim limitation,Poster guardrail against end-to-end speedup language.,latex_short_paper/main.tex,L02_no_speedup_claim.png; L02_no_speedup_claim.svg
L03_model_B_limit,09_LIMITATIONS_AND_CLAIMS,Verified model limitation,Precise finite-Gaussian boundary.,latex_short_paper/main.tex,L03_model_B_limit.png; L03_model_B_limit.svg
L04_three_claims,09_LIMITATIONS_AND_CLAIMS,Verified evidence taxonomy,Ready-to-use conclusion graphic.,latex_short_paper/main.tex,L04_three_claims.png; L04_three_claims.svg
L05_why_it_matters,09_LIMITATIONS_AND_CLAIMS,Interpretive implication supported by mechanism + experiment,Closing significance card; framed as future direction.,QFT_CERTIFICATE_PROOF_AUDIT.md; certificate_gap_rows.csv,L05_why_it_matters.png; L05_why_it_matters.svg
V01_lattice_field,10_DECORATIVE_VECTORS,Decorative schematic; not data,Square poster background or accent.,Conceptual,V01_lattice_field.png; V01_lattice_field.svg
V02_fourier_rings,10_DECORATIVE_VECTORS,Decorative schematic; not data,Square visual accent.,Conceptual,V02_fourier_rings.png; V02_fourier_rings.svg
V03_fiber_streams,10_DECORATIVE_VECTORS,Decorative schematic; not data,Wide visual divider.,Conceptual,V03_fiber_streams.png; V03_fiber_streams.svg
BACKGROUND_earlier_entropy_relation_recovery,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_earlier_entropy_relation_recovery.png,BACKGROUND_earlier_entropy_relation_recovery.png
BACKGROUND_standard_parseval_identity,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_standard_parseval_identity.png,BACKGROUND_standard_parseval_identity.png
BACKGROUND_superseded_cutoff_scaling,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_superseded_cutoff_scaling.png,BACKGROUND_superseded_cutoff_scaling.png
BACKGROUND_superseded_endpoint_success_vs_cutoff,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_superseded_endpoint_success_vs_cutoff.png,BACKGROUND_superseded_endpoint_success_vs_cutoff.png
BACKGROUND_superseded_qft_tv_vs_cutoff,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_superseded_qft_tv_vs_cutoff.png,BACKGROUND_superseded_qft_tv_vs_cutoff.png
BACKGROUND_superseded_recovery_transition,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_superseded_recovery_transition.png,BACKGROUND_superseded_recovery_transition.png
NEGATIVE_earlier_diversity_vs_lattice_success,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/NEGATIVE_earlier_diversity_vs_lattice_success.png,NEGATIVE_earlier_diversity_vs_lattice_success.png
NEGATIVE_earlier_model_ablation,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/NEGATIVE_earlier_model_ablation.png,NEGATIVE_earlier_model_ablation.png
PRIMARY_current_certificate_vs_recovery,11_EXISTING_REPO_FIGURES,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/PRIMARY_current_certificate_vs_recovery.png,PRIMARY_current_certificate_vs_recovery.png
D01_quantum_to_lattice_hero_dark_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D01_quantum_to_lattice_hero_dark_DECORATIVE_NOT_DATA.png,D01_quantum_to_lattice_hero_dark_DECORATIVE_NOT_DATA.png
D01a_dark_header_4x1_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D01a_dark_header_4x1_DECORATIVE_NOT_DATA.png,D01a_dark_header_4x1_DECORATIVE_NOT_DATA.png
D01b_dark_panel_3x2_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D01b_dark_panel_3x2_DECORATIVE_NOT_DATA.png,D01b_dark_panel_3x2_DECORATIVE_NOT_DATA.png
D01c_dark_lattice_square_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D01c_dark_lattice_square_DECORATIVE_NOT_DATA.png,D01c_dark_lattice_square_DECORATIVE_NOT_DATA.png
D02_certificate_fiber_lattice_hero_light_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D02_certificate_fiber_lattice_hero_light_DECORATIVE_NOT_DATA.png,D02_certificate_fiber_lattice_hero_light_DECORATIVE_NOT_DATA.png
D02a_light_header_4x1_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D02a_light_header_4x1_DECORATIVE_NOT_DATA.png,D02a_light_header_4x1_DECORATIVE_NOT_DATA.png
D02b_light_panel_3x2_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D02b_light_panel_3x2_DECORATIVE_NOT_DATA.png,D02b_light_panel_3x2_DECORATIVE_NOT_DATA.png
D02c_light_lattice_square_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D02c_light_lattice_square_DECORATIVE_NOT_DATA.png,D02c_light_lattice_square_DECORATIVE_NOT_DATA.png
original_poster_page1_REFERENCE_ONLY,13_POSTER_REFERENCE,Supplied poster reference; not a result,Placement/reference option; consult the folder README.,Poster packaging,.png
S01_headline_four_number_tiles,14_SUPPLEMENTAL_VETO_OPTIONS,primary,Original certificate: zero omitted layers. One layer passed all six tested cells; two passed in two Gaussian cells; maximum saving was 12 QFT-only CX gates.,certificate_gap_rows.csv; configuration_rows.csv,.png; .svg; .pdf
S02_certificate_threshold_log_ruler,14_SUPPLEMENTAL_VETO_OPTIONS,proved,"For d=2, m=7 and Delta=.05, the first non-exact certificate threshold is M≈3518.6; tested M values are far below it. This is a certificate limitation, not physical necessity.",QFT_CERTIFICATE_PROOF_AUDIT.md; configuration.json,.png; .svg; .pdf
S03_main_six_cell_certificate_gap,14_SUPPLEMENTAL_VETO_OPTIONS,primary,Each cell shows original certified omitted layers (zero) and largest omission meeting the frozen held-out rule.,certificate_gap_rows.csv,.png; .svg; .pdf
S04_primary_cluster_forest_plot,14_SUPPLEMENTAL_VETO_OPTIONS,primary,Mean paired factor-recovery differences and 95% whole-N cluster-bootstrap intervals for the largest passing omission in each cell.,paired_cluster_rows.csv,.png; .svg; .pdf
S05_M32_qft_only_resources,14_SUPPLEMENTAL_VETO_OPTIONS,primary resource accounting,"At M=32,d=2: exact/omit-one/omit-two use 20/18/14 controlled phases and 52/48/40 QFT-only CX gates; compiled depth remains 36.",configuration_rows.csv,.png; .svg; .pdf
S06_proof_slack_lollipop,14_SUPPLEMENTAL_VETO_OPTIONS,mechanism audit,Median finite slack by proof step. Large state-to-measurement slack motivates the fiber-cancellation analysis.,proof_slack_rows.csv; QFT_CERTIFICATE_TIGHTNESS.md,.png; .svg; .pdf
S07_hardbox_vs_finite_gaussian,14_SUPPLEMENTAL_VETO_OPTIONS,illustrative model definition,The hard box uses constant amplitudes; the finite Gaussian uses exp(-pi z^2/R^2) with R=4.,regev_research/redteam.py; configuration.json,.png; .svg; .pdf
S08_N15_identical_measurement_law,14_SUPPLEMENTAL_VETO_OPTIONS,controlled counterexample,"For N=15,bases=(4,1),M=4,t=0, exact and truncated measured laws coincide numerically although the all-state certificate rejects.",controlled_examples.json; fiber_fourier_distribution,.png; .svg; .pdf
S09_eight_heldout_moduli,14_SUPPLEMENTAL_VETO_OPTIONS,primary design,"Held-out N values: 55,65,85,95,115,119,133,161. No modulus was excluded.",configuration.json; QFT_CERTIFICATE_GAP_PROTOCOL.md,.png; .svg; .pdf
S10_complete_sample_to_factor_pipeline,14_SUPPLEMENTAL_VETO_OPTIONS,illustrative implementation map,"Stored roots remain paired to squared circuit bases through sampling, augmented-lattice LLL, L/L0 classification and gcd extraction.",regev_research/lattice.py; QFT_CERTIFICATE_GAP_PROTOCOL.md,.png; .svg; .pdf
S11_three_claim_zones,14_SUPPLEMENTAL_VETO_OPTIONS,claim boundary,"Separates the proved certificate limitation, the finite empirical result, and unverified general hypotheses.",QFT_CERTIFICATE_GAP_REPORT.md,.png; .svg; .pdf
S12_beginner_shor_vs_regev,14_SUPPLEMENTAL_VETO_OPTIONS,background,Shor uses one-dimensional period recovery; the tested Regev-style route uses multidimensional samples and lattice reduction.,Shor 1994/1997; Regev 2025; shor_to_regev_study,.png; .svg; .pdf
S13_qft_phase_layer_cutaway,14_SUPPLEMENTAL_VETO_OPTIONS,illustrative resource mechanism,"For M=32,q=5,d=2, exact/omit-one/omit-two use 20/18/14 logical controlled phases.",qft_gate_counts; configuration_rows.csv,.png; .svg; .pdf
S14_scope_fence,14_SUPPLEMENTAL_VETO_OPTIONS,claim boundary,"The finding is finite, model-specific, and decoder-specific; it does not establish hardware or asymptotic claims.",QFT_CERTIFICATE_GAP_REPORT.md; configuration.json,.png; .svg; .pdf
S15_root_provenance_metadata,14_SUPPLEMENTAL_VETO_OPTIONS,verified implementation correction,Each squared circuit base permanently retains its chosen generating root for L0 classification and factor extraction.,regev_research/core.py; ROOT_PROVENANCE_RED_TEAM.md,.png; .svg; .pdf
L01_story_first_48x36_LAYOUT_MOCKUP,15_POSTER_LAYOUT_OPTIONS,Layout mockup; not data,Placement/reference option; consult the folder README.,Poster packaging,.pdf; .png; .svg
L02_result_first_48x36_LAYOUT_MOCKUP,15_POSTER_LAYOUT_OPTIONS,Layout mockup; not data,Placement/reference option; consult the folder README.,Poster packaging,.pdf; .png; .svg
L03_beginner_first_48x36_LAYOUT_MOCKUP,15_POSTER_LAYOUT_OPTIONS,Layout mockup; not data,Placement/reference option; consult the folder README.,Poster packaging,.pdf; .png; .svg
Shor_vs_Regev_SIMPLE_GENERAL_AUDIENCE,16_SIMPLE_GENERAL_AUDIENCE,Primary-literature background comparison; not an empirical result,Placement/reference option; consult the folder README.,Poster packaging,.pdf; .png; .svg
